date,region,peak_demand_mw,available_capacity_mw,outage_incidents,field_staff_vacancy_rate
2026-01-01,North,4200.0,5000,2,18
2026-01-02,Central,4718.0,4807,13,31
2026-01-03,South,4536.1,5214,12,44
2026-01-04,West,4504.1,5071,11,28
2026-01-05,East,4422.1,5178,10,41
2026-01-06,North,4290.2,5035,9,25
2026-01-07,Central,4808.2,4842,8,38
2026-01-08,South,4626.2,5249,7,22
2026-01-09,West,4594.2,5106,6,35
2026-01-10,East,4512.3,5213,5,19
2026-01-11,North,4380.3,5070,4,32
2026-01-12,Central,4898.3,4877,3,45
2026-01-13,South,4716.3,5284,2,29
2026-01-14,West,4684.3,5141,13,42
2026-01-15,East,4602.3,5248,12,26
2026-01-16,North,4470.3,5105,11,39
2026-01-17,Central,4728.3,4912,10,23
2026-01-18,South,4546.3,5319,9,36
2026-01-19,West,4514.3,5176,8,20
2026-01-20,East,4432.3,5283,7,33
2026-01-21,North,4300.3,5140,6,46
2026-01-22,Central,4818.2,4947,5,30
2026-01-23,South,4636.2,5204,4,43
2026-01-24,West,4604.1,5061,3,27
2026-01-25,East,4522.1,5168,2,40
2026-01-26,North,4390.0,5025,13,24
2026-01-27,Central,4908.0,4832,12,37
2026-01-28,South,4725.9,5239,11,21
2026-01-29,West,4693.8,5096,10,34
2026-01-30,East,4611.7,5203,9,18
2026-01-31,North,4479.6,5060,8,31
2026-02-01,Central,4737.5,4867,7,44
2026-02-02,South,4555.4,5274,6,28
2026-02-03,West,4523.3,5131,5,41
2026-02-04,East,4441.1,5238,4,25
2026-02-05,North,4309.0,5095,3,38
2026-02-06,Central,4826.8,4902,2,22
2026-02-07,South,4644.7,5309,13,35
2026-02-08,West,4612.5,5166,12,19
2026-02-09,East,4530.3,5273,11,32
2026-02-10,North,4398.1,5130,10,45
2026-02-11,Central,4915.9,4937,9,29
2026-02-12,South,4733.7,5344,8,42
2026-02-13,West,4701.5,5051,7,26
2026-02-14,East,4619.2,5158,6,39
2026-02-15,North,4487.0,5015,5,23
2026-02-16,Central,4744.7,4822,4,36
2026-02-17,South,4562.4,5229,3,20
2026-02-18,West,4530.1,5086,2,33
2026-02-19,East,4447.8,5193,13,46
2026-02-20,North,4315.5,5050,12,30
2026-02-21,Central,4833.2,4857,11,43
2026-02-22,South,4650.8,5264,10,27
2026-02-23,West,4618.5,5121,9,40
2026-02-24,East,4536.1,5228,8,24
2026-02-25,North,4403.7,5085,7,37
2026-02-26,Central,4921.3,4892,6,21
2026-02-27,South,4738.9,5299,5,34
2026-02-28,West,4706.4,5156,4,18
2026-03-01,East,4624.0,5263,3,31
2026-03-02,North,4491.5,5120,2,44
2026-03-03,Central,5009.0,4927,13,28
2026-03-04,South,4566.6,5334,12,41
2026-03-05,West,4534.0,5191,11,25
2026-03-06,East,4451.5,5298,10,38
2026-03-07,North,4319.0,5005,9,22
2026-03-08,Central,4836.4,4812,8,35
2026-03-09,South,4653.8,5219,7,19
2026-03-10,West,4621.3,5076,6,32
2026-03-11,East,4538.7,5183,5,45
2026-03-12,North,4406.0,5040,4,29
2026-03-13,Central,4923.4,4847,3,42
2026-03-14,South,4740.7,5254,2,26
2026-03-15,West,4708.1,5111,13,39
2026-03-16,East,4625.4,5218,12,23
2026-03-17,North,4492.7,5075,11,36
2026-03-18,Central,5009.9,4882,10,20
2026-03-19,South,4567.2,5289,9,33
2026-03-20,West,4534.4,5146,8,46
2026-03-21,East,4451.7,5253,7,30
2026-03-22,North,4318.9,5110,6,43
2026-03-23,Central,4836.1,4917,5,27
2026-03-24,South,4653.2,5324,4,40
2026-03-25,West,4620.4,5181,3,24
2026-03-26,East,4537.5,5288,2,37
2026-03-27,North,4404.7,5145,13,21
2026-03-28,Central,4921.8,4802,12,34
2026-03-29,South,4738.8,5209,11,18
2026-03-30,West,4705.9,5066,10,31
2026-03-31,East,4623.0,5173,9,44
2026-04-01,North,4490.0,5030,8,28
2026-04-02,Central,5007.0,4837,7,41
2026-04-03,South,4564.0,5244,6,25
2026-04-04,West,4531.0,5101,5,38
2026-04-05,East,4447.9,5208,4,22
2026-04-06,North,4314.9,5065,3,35
2026-04-07,Central,4831.8,4872,2,19
2026-04-08,South,4648.7,5279,13,32
2026-04-09,West,4615.6,5136,12,45
2026-04-10,East,4532.5,5243,11,29
2026-04-11,North,4399.3,5100,10,42
2026-04-12,Central,4916.2,4907,9,26
2026-04-13,South,4733.0,5314,8,39
2026-04-14,West,4699.8,5171,7,23
2026-04-15,East,4616.6,5278,6,36
2026-04-16,North,4483.3,5135,5,20
2026-04-17,Central,5000.1,4942,4,33
2026-04-18,South,4816.8,5349,3,46
2026-04-19,West,4523.5,5056,2,30
2026-04-20,East,4440.2,5163,13,43
2026-04-21,North,4306.9,5020,12,27
2026-04-22,Central,4823.6,4827,11,40
2026-04-23,South,4640.2,5234,10,24
2026-04-24,West,4606.8,5091,9,37
2026-04-25,East,4523.5,5198,8,21
2026-04-26,North,4390.1,5055,7,34
2026-04-27,Central,4906.6,4862,6,18
2026-04-28,South,4723.2,5269,5,31
2026-04-29,West,4689.8,5126,4,44
2026-04-30,East,4606.3,5233,3,28
2026-05-01,North,4472.8,5090,2,41
2026-05-02,Central,4989.3,4897,13,25
2026-05-03,South,4805.8,5304,12,38
2026-05-04,West,4512.3,5161,11,22
2026-05-05,East,4428.7,5268,10,35
2026-05-06,North,4295.2,5125,9,19
2026-05-07,Central,4811.6,4932,8,32
2026-05-08,South,4628.0,5339,7,45
2026-05-09,West,4594.4,5196,6,29
2026-05-10,East,4510.8,5153,5,42
2026-05-11,North,4377.1,5010,4,26
2026-05-12,Central,4893.5,4817,3,39
2026-05-13,South,4709.8,5224,2,23
2026-05-14,West,4676.2,5081,13,36
2026-05-15,East,4592.5,5188,12,20
2026-05-16,North,4458.8,5045,11,33
2026-05-17,Central,4975.1,4852,10,46
2026-05-18,South,4791.3,5259,9,30
2026-05-19,West,4497.6,5116,8,43
2026-05-20,East,4413.8,5223,7,27
2026-05-21,North,4280.1,5080,6,40
2026-05-22,Central,4796.3,4887,5,24
2026-05-23,South,4612.5,5294,4,37
2026-05-24,West,4578.7,5151,3,21
2026-05-25,East,4494.9,5258,2,34
2026-05-26,North,4361.1,5115,13,18
2026-05-27,Central,4877.3,4922,12,31
2026-05-28,South,4693.4,5329,11,44
2026-05-29,West,4659.6,5186,10,28
2026-05-30,East,4575.7,5293,9,41
2026-05-31,North,4441.8,5000,8,25
2026-06-01,Central,4958.0,4807,7,38
2026-06-02,South,4774.1,5214,6,22
2026-06-03,West,4480.2,5071,5,35
2026-06-04,East,4396.3,5178,4,19
2026-06-05,North,4262.4,5035,3,32
2026-06-06,Central,4778.4,4842,2,45
2026-06-07,South,4594.5,5249,13,29
2026-06-08,West,4560.6,5106,12,42
2026-06-09,East,4476.6,5213,11,26
2026-06-10,North,4342.7,5070,10,39
2026-06-11,Central,4858.7,4877,9,23
2026-06-12,South,4674.7,5284,8,36
2026-06-13,West,4640.8,5141,7,20
2026-06-14,East,4556.8,5248,6,33
2026-06-15,North,4422.8,5105,5,46
2026-06-16,Central,4938.8,4912,4,30
2026-06-17,South,4754.8,5319,3,43
2026-06-18,West,4720.8,5176,2,27
2026-06-19,East,4376.8,5283,13,40
2026-06-20,North,4242.8,5140,12,24
2026-06-21,Central,4758.8,4947,11,37
2026-06-22,South,4574.8,5204,10,21
