date,region,peak_demand_mw,available_capacity_mw,outage_incidents,field_staff_vacancy_rate
2026-01-01,North,4200.0,5000,2,18
2026-01-02,Central,4723.3,4807,13,31
2026-01-03,South,4546.5,5214,12,44
2026-01-04,West,4519.5,5071,11,28
2026-01-05,East,4442.4,5178,10,41
2026-01-06,North,4315.0,5035,9,25
2026-01-07,Central,4837.3,4842,8,38
2026-01-08,South,4659.1,5249,7,22
2026-01-09,West,4630.6,5106,6,35
2026-01-10,East,4551.5,5213,5,19
2026-01-11,North,4422.0,5070,4,32
2026-01-12,Central,4941.8,4877,3,45
2026-01-13,South,4761.1,5284,2,29
2026-01-14,West,4729.7,5141,13,42
2026-01-15,East,4647.7,5248,12,26
2026-01-16,North,4515.0,5105,11,39
2026-01-17,Central,4771.7,4912,10,23
2026-01-18,South,4587.7,5319,9,36
2026-01-19,West,4553.1,5176,8,20
2026-01-20,East,4467.8,5283,7,33
2026-01-21,North,4332.0,5140,6,46
2026-01-22,Central,4845.5,4947,5,30
2026-01-23,South,4658.6,5204,4,43
2026-01-24,West,4621.1,5061,3,27
2026-01-25,East,4533.3,5168,2,40
2026-01-26,North,4395.0,5025,13,24
2026-01-27,Central,4906.4,4832,12,37
2026-01-28,South,4717.5,5239,11,21
2026-01-29,West,4678.5,5096,10,34
2026-01-30,East,4589.3,5203,9,18
2026-01-31,North,4450.0,5060,8,31
2026-02-01,Central,4700.7,4867,7,44
2026-02-02,South,4511.5,5274,6,28
2026-02-03,West,4472.5,5131,5,41
2026-02-04,East,4383.6,5238,4,25
2026-02-05,North,4245.0,5095,3,38
2026-02-06,Central,4756.7,4902,2,22
2026-02-07,South,4568.9,5309,13,35
2026-02-08,West,4531.4,5166,12,19
2026-02-09,East,4444.5,5273,11,32
2026-02-10,North,4308.0,5130,10,45
2026-02-11,Central,4822.2,4937,9,29
2026-02-12,South,4636.9,5344,8,42
2026-02-13,West,4602.3,5051,7,26
2026-02-14,East,4518.3,5158,6,39
2026-02-15,North,4385.0,5015,5,23
2026-02-16,Central,4642.3,4822,4,36
2026-02-17,South,4460.3,5229,3,20
2026-02-18,West,4428.9,5086,2,33
2026-02-19,East,4348.2,5193,13,46
2026-02-20,North,4218.0,5050,12,30
2026-02-21,Central,4738.5,4857,11,43
2026-02-22,South,4559.4,5264,10,27
2026-02-23,West,4530.9,5121,9,40
2026-02-24,East,4452.7,5228,8,24
2026-02-25,North,4325.0,5085,7,37
2026-02-26,Central,4847.6,4892,6,21
2026-02-27,South,4670.5,5299,5,34
2026-02-28,West,4643.5,5156,4,18
2026-03-01,East,4566.7,5263,3,31
